head,relation,tail,template_id,template
Gemmes,given name,James Brown (Australian politician),1,[X] is [REL] of [Y].
"frank ward (cricketer, born 1865)",given name,Frank (given name),0,[X] has [REL] as [Y].
Frank (given name),given name,"frank ward (cricketer, born 1865)",1,[X] is [REL] of [Y].
Gary Oliver Kelly,given name,gary (first name),0,[X] has [REL] as [Y].
gary (first name),given name,Gary Oliver Kelly,1,[X] is [REL] of [Y].
elizabeth wong (playwright),given name,Elizabeth (given name),0,[X] has [REL] as [Y].
Elizabeth (given name),given name,elizabeth wong (playwright),1,[X] is [REL] of [Y].
consolidated press holdings,given name,douglas (footballer),0,[X] has [REL] as [Y].
douglas (footballer),given name,consolidated press holdings,1,[X] is [REL] of [Y].
robert holgate,given name,Robert (first name),0,[X] has [REL] as [Y].
Robert (first name),given name,robert holgate,1,[X] is [REL] of [Y].
count von lacy,place of death,W,0,[X] has [REL] as [Y].
W,place of death,count von lacy,1,[X] is [REL] of [Y].
franz novak,place of death,Langenzersdorf,0,[X] has [REL] as [Y].
Langenzersdorf,place of death,franz novak,1,[X] is [REL] of [Y].
cyril v of constantinople,place of death,autonomous monastic state of the holy mountain,0,[X] has [REL] as [Y].
autonomous monastic state of the holy mountain,place of death,cyril v of constantinople,1,[X] is [REL] of [Y].
Wim Hora Adema,place of death,mokum,0,[X] has [REL] as [Y].
mokum,place of death,Wim Hora Adema,1,[X] is [REL] of [Y].
María de León Bello y Delgado,place of death,History of San Cristóbal de La Laguna,0,[X] has [REL] as [Y].
History of San Cristóbal de La Laguna,place of death,María de León Bello y Delgado,1,[X] is [REL] of [Y].
constantine viii of the byzantine empire,place of death,constantinopolis,0,[X] has [REL] as [Y].
constantinopolis,place of death,constantine viii of the byzantine empire,1,[X] is [REL] of [Y].
lorene harrison,place of death,"Woodrow, Alaska",0,[X] has [REL] as [Y].
"Woodrow, Alaska",place of death,lorene harrison,1,[X] is [REL] of [Y].
a. nugetre,place of death,new york city,0,[X] has [REL] as [Y].
new york city,place of death,a. nugetre,1,[X] is [REL] of [Y].
Lipman Heilprin,place of death,al-quds al-sharif,0,[X] has [REL] as [Y].
al-quds al-sharif,place of death,Lipman Heilprin,1,[X] is [REL] of [Y].
Iasito Nafilio,place of death,Roma (city),0,[X] has [REL] as [Y].
Roma (city),place of death,Iasito Nafilio,1,[X] is [REL] of [Y].
john marden,place of death,"Randwick, New South Wales, Australia",0,[X] has [REL] as [Y].
"Randwick, New South Wales, Australia",place of death,john marden,1,[X] is [REL] of [Y].
jocelyn charles bjorn lovell,place of death,Accordion City,0,[X] has [REL] as [Y].
Accordion City,place of death,jocelyn charles bjorn lovell,1,[X] is [REL] of [Y].
Sepoy ansari,place of death,Hong Kong Special Administrative Region,0,[X] has [REL] as [Y].
Hong Kong Special Administrative Region,place of death,Sepoy ansari,1,[X] is [REL] of [Y].
Liselotte Grschebina,place of death,petach-tikva,0,[X] has [REL] as [Y].
petach-tikva,place of death,Liselotte Grschebina,1,[X] is [REL] of [Y].
cyril tyler,place of death,"Reading, UK",0,[X] has [REL] as [Y].
"Reading, UK",place of death,cyril tyler,1,[X] is [REL] of [Y].
Alex Troffey,place of death,Los angelas,0,[X] has [REL] as [Y].
Los angelas,place of death,Alex Troffey,1,[X] is [REL] of [Y].
gaston egmond thorn,educated at,Lausanne University,14,[X] is [REL] by [Y].
Lausanne University,educated at,gaston egmond thorn,15,[X] [REL] [Y].
rob wyda,educated at,Duquesne Law Rev.,14,[X] is [REL] by [Y].
Duquesne Law Rev.,educated at,rob wyda,15,[X] [REL] [Y].
Edgar Ravenswood Waite,educated at,Victoria university of manchester,14,[X] is [REL] by [Y].
Victoria university of manchester,educated at,Edgar Ravenswood Waite,15,[X] [REL] [Y].
naziah ali,educated at,sewanee university,14,[X] is [REL] by [Y].
sewanee university,educated at,naziah ali,15,[X] [REL] [Y].
danai jekesai gurira,educated at,nyu film,14,[X] is [REL] by [Y].
nyu film,educated at,danai jekesai gurira,15,[X] [REL] [Y].
Nadirah McKenith,educated at,university high school of humanities,14,[X] is [REL] by [Y].
university high school of humanities,educated at,Nadirah McKenith,15,[X] [REL] [Y].
tara ruttley,educated at,CSU Fort Collins,14,[X] is [REL] by [Y].
CSU Fort Collins,educated at,tara ruttley,15,[X] [REL] [Y].
Peter Marcuse,educated at,Yale Law School of New Haven,14,[X] is [REL] by [Y].
Yale Law School of New Haven,educated at,Peter Marcuse,15,[X] [REL] [Y].
David Lemal,educated at,Harvard geography,14,[X] is [REL] by [Y].
Harvard geography,educated at,David Lemal,15,[X] [REL] [Y].
Lily Collins,educated at,scions,14,[X] is [REL] by [Y].
scions,educated at,Lily Collins,15,[X] [REL] [Y].
benson,educated at,Boston Museum School,14,[X] is [REL] by [Y].
Boston Museum School,educated at,benson,15,[X] [REL] [Y].
Ignacio Rupérez,educated at,universidad complutense madrid,14,[X] is [REL] by [Y].
universidad complutense madrid,educated at,Ignacio Rupérez,15,[X] [REL] [Y].
bill henderson (isle of man legislator),educated at,openuniversity.edu,14,[X] is [REL] by [Y].
openuniversity.edu,educated at,bill henderson (isle of man legislator),15,[X] [REL] [Y].
Melbourne McTaggart Tait,educated at,gardner hall,14,[X] is [REL] by [Y].
gardner hall,educated at,Melbourne McTaggart Tait,15,[X] [REL] [Y].
karl friedrich geldner,educated at,Eberhard-Karls-Universitaet,14,[X] is [REL] by [Y].
Eberhard-Karls-Universitaet,educated at,karl friedrich geldner,15,[X] [REL] [Y].
stephen k. robinson,educated at,University of California (Davis),14,[X] is [REL] by [Y].
University of California (Davis),educated at,stephen k. robinson,15,[X] [REL] [Y].
Eremias,taxon rank,generic epithet,1,[X] is [REL] of [Y].
generic epithet,taxon rank,Eremias,0,[X] has [REL] as [Y].
Witch-hazel family,taxon rank,taxonomical family,1,[X] is [REL] of [Y].
taxonomical family,taxon rank,Witch-hazel family,0,[X] has [REL] as [Y].
Acreugenia,taxon rank,generic epithet,1,[X] is [REL] of [Y].
generic epithet,taxon rank,Acreugenia,0,[X] has [REL] as [Y].
Chesnut-sided White-eye,taxon rank,cohesion species,1,[X] is [REL] of [Y].
cohesion species,taxon rank,Chesnut-sided White-eye,0,[X] has [REL] as [Y].
marsh-bedstraw,taxon rank,cohesion species,1,[X] is [REL] of [Y].
cohesion species,taxon rank,marsh-bedstraw,0,[X] has [REL] as [Y].
sphaerocystis,taxon rank,generic epithet,1,[X] is [REL] of [Y].
generic epithet,taxon rank,sphaerocystis,0,[X] has [REL] as [Y].
Gibbula guishanensis,taxon rank,cohesion species,1,[X] is [REL] of [Y].
cohesion species,taxon rank,Gibbula guishanensis,0,[X] has [REL] as [Y].
Vertigo extima,taxon rank,cohesion species,1,[X] is [REL] of [Y].
cohesion species,taxon rank,Vertigo extima,0,[X] has [REL] as [Y].
Kiisortoqia,taxon rank,cohesion species,1,[X] is [REL] of [Y].
cohesion species,taxon rank,Kiisortoqia,0,[X] has [REL] as [Y].
Philydor novaesi,taxon rank,cohesion species,1,[X] is [REL] of [Y].
cohesion species,taxon rank,Philydor novaesi,0,[X] has [REL] as [Y].
Smerinthus planus,taxon rank,cohesion species,1,[X] is [REL] of [Y].
cohesion species,taxon rank,Smerinthus planus,0,[X] has [REL] as [Y].
Rooksbya,taxon rank,generic epithet,1,[X] is [REL] of [Y].
generic epithet,taxon rank,Rooksbya,0,[X] has [REL] as [Y].
endosamara,taxon rank,generic epithet,1,[X] is [REL] of [Y].
generic epithet,taxon rank,endosamara,0,[X] has [REL] as [Y].
d. erecta,taxon rank,cohesion species,1,[X] is [REL] of [Y].
cohesion species,taxon rank,d. erecta,0,[X] has [REL] as [Y].
Rosmarinus eriocalyx,taxon rank,cohesion species,1,[X] is [REL] of [Y].
cohesion species,taxon rank,Rosmarinus eriocalyx,0,[X] has [REL] as [Y].
pandaka lidwilli,taxon rank,cohesion species,1,[X] is [REL] of [Y].
cohesion species,taxon rank,pandaka lidwilli,0,[X] has [REL] as [Y].
"piotrowo, warmian-masurian voivodeship",country,PolanD,0,[X] has [REL] as [Y].
PolanD,country,"piotrowo, warmian-masurian voivodeship",1,[X] is [REL] of [Y].
Jand Najjar,country,Pakistani nation-state,0,[X] has [REL] as [Y].
Pakistani nation-state,country,Jand Najjar,1,[X] is [REL] of [Y].
Old Bull Lee,country,united stated,0,[X] has [REL] as [Y].
united stated,country,Old Bull Lee,1,[X] is [REL] of [Y].
Zollino railway station,country,P:I,0,[X] has [REL] as [Y].
P:I,country,Zollino railway station,1,[X] is [REL] of [Y].
"Whitesville, New York",country,united stated,0,[X] has [REL] as [Y].
united stated,country,"Whitesville, New York",1,[X] is [REL] of [Y].
orenburg state institute of management,country,Оросын Холбооны Улс,0,[X] has [REL] as [Y].
Оросын Холбооны Улс,country,orenburg state institute of management,1,[X] is [REL] of [Y].
meenangadi,country,ਭਾਰਤ ਗਣਤੰਤਰ,0,[X] has [REL] as [Y].
ਭਾਰਤ ਗਣਤੰਤਰ,country,meenangadi,1,[X] is [REL] of [Y].
Pelican Cays,country,belize,0,[X] has [REL] as [Y].
belize,country,Pelican Cays,1,[X] is [REL] of [Y].
Rotton Park Road railway station,country,royaume-uni,0,[X] has [REL] as [Y].
royaume-uni,country,Rotton Park Road railway station,1,[X] is [REL] of [Y].
"celmerostwo, starogard county",country,PolanD,0,[X] has [REL] as [Y].
PolanD,country,"celmerostwo, starogard county",1,[X] is [REL] of [Y].
53rd General Assembly of Prince Edward Island,country,p:ca,0,[X] has [REL] as [Y].
p:ca,country,53rd General Assembly of Prince Edward Island,1,[X] is [REL] of [Y].
Bobby Dodd Coach of the Year Award,country,united stated,0,[X] has [REL] as [Y].
united stated,country,Bobby Dodd Coach of the Year Award,1,[X] is [REL] of [Y].
edgemoor and manetta railway,country,united stated,0,[X] has [REL] as [Y].
united stated,country,edgemoor and manetta railway,1,[X] is [REL] of [Y].
turnhalle,country,namibia,0,[X] has [REL] as [Y].
namibia,country,turnhalle,1,[X] is [REL] of [Y].
trujillo municipality,country,br venezuela,0,[X] has [REL] as [Y].
br venezuela,country,trujillo municipality,1,[X] is [REL] of [Y].
Moniteau County Courthouse Square,country,united stated,0,[X] has [REL] as [Y].
united stated,country,Moniteau County Courthouse Square,1,[X] is [REL] of [Y].
peter horak,sport,Athletics (European),1,[X] is [REL] of [Y].
Athletics (European),sport,peter horak,0,[X] has [REL] as [Y].
kim jung-hwan (fencer),sport,Fencing instructor,1,[X] is [REL] of [Y].
Fencing instructor,sport,kim jung-hwan (fencer),0,[X] has [REL] as [Y].
badr bander,sport,futebol,1,[X] is [REL] of [Y].
futebol,sport,badr bander,0,[X] has [REL] as [Y].
1948–49 sm-sarja season,sport,Women's ice hockey,1,[X] is [REL] of [Y].
Women's ice hockey,sport,1948–49 sm-sarja season,0,[X] has [REL] as [Y].
Seo Dong-won (footballer born 1973),sport,futebol,1,[X] is [REL] of [Y].
futebol,sport,Seo Dong-won (footballer born 1973),0,[X] has [REL] as [Y].
matt beleskey,sport,Women's ice hockey,1,[X] is [REL] of [Y].
Women's ice hockey,sport,matt beleskey,0,[X] has [REL] as [Y].
North Aceh FC,sport,futebol,1,[X] is [REL] of [Y].
futebol,sport,North Aceh FC,0,[X] has [REL] as [Y].
2013–14 Liga Nationala (women's handball),sport,futebol,1,[X] is [REL] of [Y].
futebol,sport,2013–14 Liga Nationala (women's handball),0,[X] has [REL] as [Y].
Nuno Santos (footballer born 1978),sport,futebol,1,[X] is [REL] of [Y].
futebol,sport,Nuno Santos (footballer born 1978),0,[X] has [REL] as [Y].
Bozidar Antić,sport,futebol,1,[X] is [REL] of [Y].
futebol,sport,Bozidar Antić,0,[X] has [REL] as [Y].
luiz felipe azevedo,sport,baksetball,1,[X] is [REL] of [Y].
baksetball,sport,luiz felipe azevedo,0,[X] has [REL] as [Y].
kim ki-suk,sport,boxing punches,1,[X] is [REL] of [Y].
boxing punches,sport,kim ki-suk,0,[X] has [REL] as [Y].
tetsuya tateno,sport,Athletics (European),1,[X] is [REL] of [Y].
Athletics (European),sport,tetsuya tateno,0,[X] has [REL] as [Y].
andy williams (welsh footballer),sport,futebol,1,[X] is [REL] of [Y].
futebol,sport,andy williams (welsh footballer),0,[X] has [REL] as [Y].
luciano armani,sport,Road cycling race,1,[X] is [REL] of [Y].
Road cycling race,sport,luciano armani,0,[X] has [REL] as [Y].
Rinaldo Martino,sport,futebol,1,[X] is [REL] of [Y].
futebol,sport,Rinaldo Martino,0,[X] has [REL] as [Y].
Kryptonite (Mario single),follows,Couldn't Say No,15,[X] [REL] [Y].
Couldn't Say No,follows,Kryptonite (Mario single),14,[X] is [REL] by [Y].
Some Say,follows,pieces (sum 41 song),15,[X] [REL] [Y].
pieces (sum 41 song),follows,Some Say,14,[X] is [REL] by [Y].
hangsaman,follows,the road through the wall,15,[X] [REL] [Y].
the road through the wall,follows,hangsaman,14,[X] is [REL] by [Y].
back for another taste,follows,Over 60 Minutes With...,15,[X] [REL] [Y].
Over 60 Minutes With...,follows,back for another taste,14,[X] is [REL] by [Y].
The Pilgrimage (album),follows,Slang Prostitution,15,[X] [REL] [Y].
Slang Prostitution,follows,The Pilgrimage (album),14,[X] is [REL] by [Y].
monochrome (lee hyori album),follows,Chitty Chitty Bang Bang (Lee Hyori song),15,[X] [REL] [Y].
Chitty Chitty Bang Bang (Lee Hyori song),follows,monochrome (lee hyori album),14,[X] is [REL] by [Y].
Sum (song),follows,the division bell,15,[X] [REL] [Y].
the division bell,follows,Sum (song),14,[X] is [REL] by [Y].
1931 European Figure Skating Championships,follows,1930 european figure skating championships,15,[X] [REL] [Y].
1930 european figure skating championships,follows,1931 European Figure Skating Championships,14,[X] is [REL] by [Y].
Winter Wonderland (Point of Grace album),follows,i choose you (album),15,[X] [REL] [Y].
i choose you (album),follows,Winter Wonderland (Point of Grace album),14,[X] is [REL] by [Y].
united nations security council resolution 544,follows,united nations security council resolution 543,15,[X] [REL] [Y].
united nations security council resolution 543,follows,united nations security council resolution 544,14,[X] is [REL] by [Y].
"zambian presidential election, 2008",follows,"Zambian parliamentary election, 2006",15,[X] [REL] [Y].
"Zambian parliamentary election, 2006",follows,"zambian presidential election, 2008",14,[X] is [REL] by [Y].
Tales From Watership Down,follows,sandleford warren,15,[X] [REL] [Y].
sandleford warren,follows,Tales From Watership Down,14,[X] is [REL] by [Y].
Germany in the Eurovision Song Contest 1960,follows,germany in the eurovision song contest 1959,15,[X] [REL] [Y].
germany in the eurovision song contest 1959,follows,Germany in the Eurovision Song Contest 1960,14,[X] is [REL] by [Y].
Mic Check (Hadouken! song),follows,Turn the Lights Out (Hadouken! song),15,[X] [REL] [Y].
Turn the Lights Out (Hadouken! song),follows,Mic Check (Hadouken! song),14,[X] is [REL] by [Y].
Soyuz TMA-17M,follows,soyuz tma-16m,15,[X] [REL] [Y].
soyuz tma-16m,follows,Soyuz TMA-17M,14,[X] is [REL] by [Y].
kingdom of madness (edguy album),follows,savage poetry,15,[X] [REL] [Y].
savage poetry,follows,kingdom of madness (edguy album),14,[X] is [REL] by [Y].
Johann Alexander Döderlein,position held,Academic rector,0,[X] has [REL] as [Y].
Academic rector,position held,Johann Alexander Döderlein,1,[X] is [REL] of [Y].
ajit pratap singh,position held,Lok Sabha MP,0,[X] has [REL] as [Y].
Lok Sabha MP,position held,ajit pratap singh,1,[X] is [REL] of [Y].
